gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOXL4,98.670647423423,1.69700517261607,0.340770926819639,4.97990010020499,6.36171034922676e-07,0.00718364332634686
CCL20,80.0252753227784,2.28323678239544,0.468358072929766,4.87498116155634,1.08818839125667e-06,0.00819188220938018
KRT23,70.3529922525623,2.79914312260045,0.605603802108144,4.62206992898073,3.79929888606931e-06,0.0178099515182936
CHIT1,11.0527430512165,2.85880495182328,0.630151783036949,4.53669263307576,5.71432946734569e-06,0.0215087361150892
CCL2,236.156180521049,1.72790119315577,0.390524900544235,4.42456086858423,9.66386544519738e-06,0.0311783910306197
THBS2,436.525918676825,1.05237279193306,0.248204172286971,4.23994803244611,2.23571539453559e-05,0.0631142455877398
NR4A2,147.328758794949,1.8350821036803,0.44087536173708,4.16236030167334,3.14974839435932e-05,0.071768670379012
TREM2,21.1698849678849,1.59235546713486,0.388950619948649,4.09397847815513,4.24033688308794e-05,0.0870579710615074
MMP9,52.4000777444506,1.99758846858246,0.491476591112233,4.06446309896842,4.81431545429293e-05,0.0877124771625394
GLRA2,2.80885548766155,4.28005148783972,1.06805725983928,4.00732399729561,6.14105931318535e-05,0.0877124771625394
LOXL1,33.4865767629359,1.40361878792506,0.350507886047,4.00452841091526,6.21413228214944e-05,0.0877124771625394
ADAMTS4,87.9346101255624,1.61332305709456,0.400096420653403,4.03233564164314,5.52252367890661e-05,0.0877124771625394
SOCS3,293.746511034544,1.86339372816485,0.461891110367483,4.03427060261525,5.47721690238252e-05,0.0877124771625394
CTSK,125.222997869188,1.04847993821515,0.266279392077914,3.93751814600945,8.23287078625271e-05,0.0978585020193322
THY1,135.542700404303,1.40527224791436,0.355948220411382,3.94796818000731,7.88172773254616e-05,0.0978585020193322
WNT4,12.4107570108898,2.72714092689943,0.69008547808479,3.95188858990067,7.75368391201582e-05,0.0978585020193322
CXCL3,13.8898878801421,1.88335312065908,0.483097705086719,3.89849320505674,9.67931164086832e-05,0.109298787048685
ADAMDEC1,15.4198228581605,2.43438892002046,0.635569245845312,3.83024971068685,0.000128013284415903,0.127213618071907
PSRC1,19.3276510301532,-1.36334269568919,0.357507075791854,-3.81347052409934,0.000137028875153028,0.127213618071907
MMP7,154.805489149616,1.64227350975829,0.431414456886913,3.80671876786174,0.000140822726345983,0.127213618071907
ICOS,8.42030776152639,1.63857790808588,0.430182044032947,3.80903371215647,0.000139510937370641,0.127213618071907
OLR1,17.3902977282856,1.53440820422264,0.402288587727459,3.81419769546672,0.000136626066724855,0.127213618071907
MOXD1,108.800610034861,1.38224600142822,0.365029144965807,3.7866729834893,0.000152677819861654,0.130977465847942
DUSP8,46.1729858364436,1.59977867609873,0.423179184891431,3.78038129760366,0.00015658836246433,0.130977465847942
RGCC,72.1757135090191,1.1488475002447,0.306056923400933,3.75370531559491,0.000174239689397361,0.140536755191071
FOSB,222.019090256504,2.98380266789401,0.807806746266095,3.69370852829091,0.000221007114216423,0.161007247337539
SORT1,481.451294241544,-1.22815058385548,0.334249434928549,-3.67435350823558,0.00023845240427184,0.168287784314851
CXCL8,187.525619357657,1.94092694465286,0.531729789766062,3.65021291266526,0.000262023024366404,0.174044940655614
ITGBL1,94.3510073180503,1.45902207019178,0.399304499579211,3.65390841257562,0.000258278430201134,0.174044940655614
TMEM145,1.65234283427402,-4.02842645020953,1.11442292737731,-3.61480937913763,0.000300568692348398,0.188556759666562
MYC,256.617195983356,1.43401598481496,0.398028359525972,3.60279852049433,0.000314809538851016,0.189868862410302
ANKRD1,9.77257745121401,2.21538751594766,0.615560797723013,3.59897434037788,0.000319474706499799,0.189868862410302
TNFRSF12A,135.748463159408,1.55346785735577,0.434831549068689,3.57257393278605,0.000353489639034617,0.194712439218483
PTGFR,62.82948194936,0.880411041041961,0.246235854933563,3.57547864538048,0.000349587711937614,0.194712439218483
FSTL3,128.817491337158,0.852638619722366,0.2400878638184,3.55136076502098,0.000383244706905877,0.196170452098997
FAP,30.8679061199538,2.01155600511609,0.569637307172761,3.5312925958096,0.000413534027293318,0.196170452098997
CPXM1,8.43526957818174,2.59402682778835,0.732605080891985,3.54082560365263,0.000398877133461903,0.196170452098997
CLC,6.42546874247992,1.93122474413618,0.545525036666828,3.54012119395291,0.000399943325106479,0.196170452098997
GXYLT2,15.9808646098558,1.19957504627471,0.33990747330144,3.5291223067958,0.000416940387032937,0.196170452098997
NR4A1,263.454239656988,1.92686507767893,0.549638259295681,3.50569678345911,0.000455413711973854,0.20570126542435
COL4A3,24.882769804516,2.22382836942283,0.633804831731517,3.50869582888389,0.000450309585921186,0.20570126542435
ATF3,233.065171172846,1.32438653255438,0.378587014470472,3.49823549655233,0.000468347389077968,0.207395243822291
THBS1,1522.43386602798,1.13459781046749,0.326521483891701,3.47480293469389,0.000511228764907024,0.213807230123338
PSORS1C1,3.10886341197304,2.68712407146456,0.777479354140423,3.45619990698715,0.000547848854046015,0.217063482803074
BCL2L2-PABPN1,7.47488395211467,3.71118284411341,1.0768446652667,3.44634928677876,0.000568215412989542,0.221251325637169
PTGDS,320.928590298577,1.00692219276382,0.293752430161663,3.4277918729376,0.000608511782303829,0.224786042347346
COL1A2,1374.01330593624,0.832523373174637,0.24305353239361,3.42526753253031,0.000614194295961147,0.224786042347346
NRN1L,3.51015009850214,-1.63215569913158,0.476683460971631,-3.42398222880385,0.000617106563298593,0.224786042347346
FHL2,135.097771019196,0.951042886663517,0.279941046191139,3.39729703665593,0.000680550512519099,0.229396310070617
