gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LRFN5,38.2637056352896,-6.58111396306044,1.17475659443874,-5.60210855100984,2.11759865730203e-08,0.000231199421404235
RAB3B,53.4356380257636,-2.63933562053561,0.505534202453989,-5.22088437878906,1.7807069552139e-07,0.000777670341481015
SAA1,19234.0010152898,-2.9724979358041,0.567903425706015,-5.2341609528217,1.65735987553617e-07,0.000777670341481015
IL1RL1,36.6388391336249,-2.89247838006815,0.638865212389555,-4.52752524941745,5.96784721473324e-06,0.0162892389726144
RHBDF2,6.61515005796396,-4.29476304598152,1.02185558754838,-4.20290606453055,2.63509960163636e-05,0.0523091226375741
FGF19,8.63469660503484,-4.93476473598802,1.20925401161879,-4.08083387656661,4.48744197142932e-05,0.0813294448780469
SLC35C1,215.505728667043,-1.64467743141384,0.40478100234661,-4.06312900526274,4.84192518508248e-05,0.0813294448780469
SAA2,9012.6245016478,-2.41322030376698,0.600184379831245,-4.02079824944047,5.80012640832063e-05,0.0891840637908153
LGALS1,748.456471616923,0.640429666186489,0.161967805785319,3.95405533267116,7.68376275195321e-05,0.0979648237365349
PADI1,26.3230442315465,3.63170184612072,0.922239034447059,3.93791816489112,8.21916142991153e-05,0.0979648237365349
TMC5,17.6083082356325,-2.46572949295572,0.633830543441105,-3.89020301793776,0.000100160390108242,0.108292152059141
CHI3L1,1219.53750906466,-2.03611218099846,0.526209358493957,-3.86939560867169,0.000109105483847824,0.108292152059141
LDHAL6B,2.17944881415931,1.85907488523019,0.479332592842136,3.87846541835819,0.000105117465686598,0.108292152059141
MUC5B,41.0068046034394,-3.24550676011263,0.847841897937012,-3.82796222740309,0.00012920857922173,0.112732843134093
LAIR2,1.70063171163178,3.63022785842827,0.949214673175802,3.82445400499611,0.000131062209667651,0.112732843134093
FABP4,159.506244071177,1.23604874909154,0.323694588785171,3.81856475800365,0.000134230349949002,0.112732843134093
S100P,40.5477537594823,-2.30414687682964,0.606353942762959,-3.80000312413305,0.000144694263698987,0.117020146004855
ZNF689,111.300689936536,-0.460382384297675,0.123967495030857,-3.71373467039148,0.000204222911845973,0.148647050102289
AKR1B10,797.643271701175,-2.50257269191526,0.676292283727969,-3.70043064534194,0.000215233898999458,0.151607981243619
UBE2C,9.63559358226137,1.53370540124986,0.42025340981907,3.64947758998591,0.000262774161658177,0.179310518561499
LAMTOR1,646.714204126494,-0.264081729400822,0.0729660726110086,-3.61924001047274,0.000295469500452492,0.195511273087291
MYBBP1A,214.013434974735,-0.60358952442478,0.16891024018112,-3.5734335809218,0.000352330642878894,0.222917203018569
WDPCP,136.533518270108,0.598761803536293,0.16791982898694,3.56575996502987,0.000362803324453249,0.222917203018569
EPB41L1,356.837014994354,-1.20165743272739,0.338199378158372,-3.55310361382354,0.000380714478316305,0.22468327968959
DST,2695.83229723118,0.423339905684002,0.119390277710543,3.54584907416308,0.000391350277955214,0.224882228142896
YY1AP1,324.421213467351,-0.392647539608634,0.111376816741619,-3.52539739503897,0.00042284794578359,0.23675148061873
ZNF83,111.360363426103,0.878371533935079,0.250996403198217,3.49953833099915,0.000466064590496198,0.252074395283314
COL4A5,63.0898745619683,0.850974782063789,0.243902822445082,3.48899112168084,0.000484847252330976,0.252074395283314
FAM118A,144.588796008829,0.726967695718518,0.21473899091051,3.38535490288056,0.000710862801553706,0.263091527707233
GLRA2,2.80885548766155,-3.43285434132839,1.00252081601992,-3.42422250637855,0.000616561162869839,0.263091527707233
PDGFRL,14.4421129781284,2.79691717225912,0.818144875121224,3.4186086808216,0.000629421758795971,0.263091527707233
FGL1,27672.7697053871,-0.781761495532335,0.22981634775505,-3.40167922416718,0.000669731980079159,0.263091527707233
TKT,865.393357124826,-0.629275484392511,0.185638748964985,-3.38978520325626,0.00069947406952708,0.263091527707233
GRB2,1161.15446444313,-0.294434031240362,0.0854139350940053,-3.44714279837725,0.000566549042421969,0.263091527707233
ANKS1B,16.5914963323675,1.32372257120845,0.38316344423074,3.45472041015297,0.000550863747598163,0.263091527707233
RPS27L,1288.16120390893,0.387344906914393,0.114053553942168,3.39616691918955,0.000683366722498476,0.263091527707233
C1orf168,517.611803774865,0.416948568363647,0.122993350881374,3.39000901573769,0.000698903251020902,0.263091527707233
NPIPB2,16.297886339771,1.10711867840977,0.322490883244436,3.43302318276892,0.000596891059030393,0.263091527707233
HARS,259.342613848502,-0.618428008227326,0.183650217380093,-3.36742323014729,0.00075874147946321,0.271604572878011
KIF14,14.8403459052507,1.01594461312041,0.302111534515627,3.36281305759897,0.000771525912902709,0.271605121950138
DUOX2,26.26902719572,-2.12471279551272,0.634526833061326,-3.34849951933769,0.000812504217496048,0.272951416819134
TNFRSF13C,1.50408371672584,2.1243432944364,0.633987601979875,3.35076472757875,0.000805887395964388,0.272951416819134
ACHE,27.0510791922511,1.46085424500358,0.438084991341766,3.33463659763664,0.000854109392432635,0.281494757912995
MND1,5.76255529859908,1.67890330148419,0.504395210257437,3.32854727273738,0.000873001879629628,0.281494757912995
HN1L,943.965828121643,-0.260839789405174,0.0789189977606011,-3.30515841314185,0.000949227322978282,0.300396055428315
GPC3,168.257680147863,1.16477510253343,0.35463949253639,3.2843919728255,0.00102202670431458,0.318813930220187
DBNDD1,55.0379978720903,0.696453314619114,0.22037892477957,3.16025370990319,0.00157631811250889,0.32515887034573
POMT2,114.035442022035,-0.386859046956444,0.11985639829221,-3.22768790376364,0.00124795048581454,0.32515887034573
DEPDC1,10.1938942575279,1.46052925098567,0.467220048437538,3.12599867208166,0.00177202351946977,0.32515887034573
EXOSC5,113.556440316789,-0.419902553372353,0.131714718770299,-3.18796985858985,0.00143275470725034,0.32515887034573
