gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HSPB8,69.008664551603,-2.1284552474054,0.213110107633724,-9.98758468586398,1.72739384914386e-23,7.14795574775728e-21
CXorf36,49.8234377857469,-2.06528888481257,0.207362443161875,-9.95980204187855,2.28517272109417e-23,9.30102759333213e-21
DPYSL3,191.303804741151,-1.93011687714605,0.194323143085855,-9.93251162211435,3.00587095939044e-23,1.20370587386687e-20
DGAT2,6975.78264702141,1.95345535774838,0.196959692707138,9.91804633170805,3.47491019189587e-23,1.36944555943477e-20
COL1A1,1537.82515683141,-2.39755928924602,0.242435170158679,-9.88948628071067,4.6239460012128e-23,1.79380205184549e-20
TGFB2,68.9950637152373,-2.54706098778956,0.257636719537757,-9.88624988068239,4.77584290680746e-23,1.82422504138793e-20
CLSTN2,29.3661662799437,-2.68040361849259,0.271970239965637,-9.85550337724913,6.4890712400187e-23,2.44107061738158e-20
SDCBP2,118.577092621671,-1.7585853752266,0.178716240242606,-9.84009831920888,7.56368843419199e-23,2.80285457379282e-20
RARRES1,102.978262064218,-2.21473087953775,0.225957339581,-9.80154432533416,1.10877301865968e-22,4.04832595695332e-20
LAMC3,199.337880374848,-2.96625622359774,0.302936572370064,-9.79167421216543,1.22254552642305e-22,4.39903772899009e-20
VIM,3823.99210691155,-1.48908136437493,0.152337028312546,-9.77491408930348,1.4427968291154e-22,5.11739423903958e-20
CH25H,50.8087996805327,-3.20464863816706,0.328356736294532,-9.75965553297657,1.67723934227088e-22,5.86514061829599e-20
FAP,30.8679061199538,-4.62076599995997,0.475821468408065,-9.71113391629735,2.70312988005719e-22,9.32129286973054e-20
TMEM178B,13.6057528912515,-3.72975582825433,0.384348383133138,-9.70410177831383,2.89615907482261e-22,9.85011472735557e-20
COL4A2,916.112074084361,-1.85653281521389,0.192063770644122,-9.66623121574492,4.19544337928511e-22,1.40762794893096e-19
FBLN5,540.876501487665,-2.07007161315696,0.214239351248967,-9.66242476505326,4.35433397688083e-22,1.44145871970663e-19
SCTR,23.68759162346,-2.9293135358929,0.303265586218795,-9.65923490501001,4.49206192238587e-22,1.46748570274995e-19
SLIT2,95.9420355352396,-1.991176048888,0.206608949678385,-9.63741431330799,5.55700559096921e-22,1.79180954302057e-19
